PSET1,PSET2,PSET3,PSET4,PSET5,PSET6,QUIZ1,QUIZ2,FINAL,PSET_ZEROS,QUIZ_ZEROS,FALL,MALE,YEAR,COURSE_6,COURSE_8,COURSE_18,GRADE
0.529787234,0.723670213,1.114361702,0.338829787,0.688297872,0.046276596,2.998226958,0.515957446,8.839539013,0,0,1,1,3,1,1,0,3
0.079787234,0.073670213,-0.485638298,0.438829787,0.588297872,-0.903723404,1.498226958,5.015957446,8.506205683,0,0,1,1,2,1,0,0,3
0.629787234,0.573670213,0.614361702,0.838829787,0.838297872,0.746276596,3.331560278,2.515957446,4.506205663,0,0,1,1,2,1,0,1,3
-0.020212766,0.923670213,0.664361702,0.338829787,0.788297872,0.496276596,1.831560278,2.849290786,6.672872353,0,0,1,1,2,1,0,0,3
-0.270212766,0.523670213,1.064361702,-0.211170213,0.838297872,0.096276596,2.331560278,1.849290786,8.006205673,0,0,1,1,3,1,0,1,3
0.429787234,0.573670213,0.514361702,0.688829787,0.038297872,0.546276596,3.498226958,1.349290786,6.506205673,0,0,1,1,2,0,0,1,3
0.279787234,0.723670213,0.364361702,-1.011170213,0.638297872,0.746276596,2.831560278,2.015957446,7.006205683,0,0,1,1,2,1,0,0,3
0.279787234,0.523670213,-0.135638298,0.388829787,0.888297872,0.546276596,2.498226958,1.682624106,6.672872353,0,0,1,1,2,1,0,0,3
-2.020212766,0.723670213,0.814361702,0.538829787,0.588297872,0.196276596,3.331560278,1.349290786,4.839538993,0,0,1,0,2,0,0,1,3
0.179787234,0.623670213,0.364361702,0.338829787,0.338297872,-0.003723404,-0.001773042,1.849290786,6.172872343,0,0,1,1,3,1,0,0,3
0.629787234,0.773670213,0.514361702,0.388829787,0.088297872,0.846276596,0.164893618,2.349290786,3.839539003,0,0,1,1,3,1,0,0,3
0.179787234,0.573670213,0.614361702,-0.011170213,0.438297872,0.946276596,0.998226958,2.182624106,3.506205673,0,0,1,1,2,1,0,0,3
-0.920212766,0.723670213,-0.235638298,0.338829787,0.388297872,-0.603723404,0.998226958,4.349290786,4.339539013,0,0,1,0,2,1,0,0,3
0.229787234,0.723670213,1.064361702,0.788829787,0.738297872,0.996276596,-0.001773042,0.849290786,3.839539003,0,0,1,1,2,1,0,1,3
0.429787234,0.923670213,1.114361702,0.588829787,0.388297872,0.346276596,0.164893618,3.182624106,1.839538993,0,0,1,1,3,1,0,0,3
0.329787234,0.923670213,0.864361702,0.488829787,0.638297872,0.746276596,-0.501773042,1.182624106,4.172872333,0,0,1,1,2,1,1,0,3
0.629787234,-0.076329787,1.064361702,0.038829787,0.138297872,0.646276596,1.498226958,3.015957446,1.006205683,0,0,1,0,2,1,0,1,3
0.429787234,0.823670213,0.714361702,0.638829787,0.888297872,0.396276596,0.831560278,0.682624106,2.506205683,0,0,1,0,3,1,0,0,3
-0.370212766,0.573670213,-0.285638298,0.838829787,0.638297872,-1.253723404,1.831560278,3.182624106,2.672872333,0,0,1,1,4,0,0,1,3
0.379787234,-0.026329787,0.014361702,0.538829787,0.238297872,-0.003723404,2.664893618,1.349290786,2.672872333,0,0,1,1,2,1,0,1,3
0.229787234,0.673670213,0.564361702,0.638829787,0.438297872,0.746276596,2.498226958,0.682624106,1.339539013,0,0,1,1,2,1,0,0,3
0.329787234,0.623670213,0.664361702,0.488829787,0.238297872,0.546276596,3.664893618,1.015957446,-0.327127667,0,0,1,1,2,1,0,0,3
0.429787234,0.723670213,0.064361702,0.388829787,0.188297872,0.496276596,-0.001773042,3.182624106,1.672872343,0,0,1,0,3,0,0,1,3
0.279787234,0.423670213,0.114361702,0.388829787,0.338297872,0.646276596,-0.168439722,3.849290786,0.172872343,0,0,1,0,4,0,1,0,2
0.429787234,0.373670213,0.164361702,0.388829787,0.488297872,-0.153723404,0.831560278,1.849290786,1.672872343,0,0,1,1,3,1,0,0,2
0.229787234,0.773670213,0.814361702,-0.161170213,0.088297872,0.746276596,1.498226958,0.349290786,1.339539013,0,0,1,1,2,1,0,0,2
0.329787234,-1.776329787,0.414361702,0.588829787,-0.111702128,0.396276596,4.831560278,-0.650709214,1.339539013,0,0,1,1,3,1,0,0,2
0.079787234,0.923670213,0.114361702,0.688829787,0.838297872,0.746276596,0.831560278,1.015957446,0.006205663,0,0,1,1,2,1,0,0,2
0.629787234,0.823670213,1.064361702,0.738829787,0.788297872,0.796276596,-1.168439722,2.682624106,-1.160461007,0,0,1,0,3,1,0,0,2
-0.020212766,0.523670213,-0.435638298,0.288829787,0.338297872,-0.203723404,-0.335106382,3.015957446,1.839538993,0,0,1,0,2,1,0,0,2
0.379787234,0.273670213,1.064361702,0.738829787,0.338297872,0.746276596,-2.168439722,2.182624106,1.339539013,0,0,1,1,2,1,0,0,2
0.129787234,0.923670213,0.614361702,0.188829787,0.538297872,-0.053723404,0.498226958,2.182624106,-0.160460987,0,0,1,1,2,1,0,0,2
0.379787234,0.723670213,0.364361702,0.938829787,0.888297872,0.746276596,-0.168439722,3.015957446,-2.160460997,0,0,1,0,3,0,0,1,2
-0.520212766,0.523670213,0.864361702,0.238829787,0.588297872,-0.153723404,1.331560278,1.349290786,0.172872343,0,0,1,0,1,1,0,1,2
0.229787234,0.823670213,0.864361702,0.388829787,0.438297872,0.596276596,-0.501773042,-0.150709214,1.339539013,0,0,1,1,2,1,0,0,2
0.429787234,0.523670213,-0.385638298,0.138829787,0.588297872,0.146276596,-0.668439722,-0.317375894,3.506205673,0,0,1,1,2,1,0,0,2
0.129787234,0.373670213,-0.735638298,0.238829787,0.138297872,-0.653723404,2.664893618,2.182624106,-0.493794317,0,0,1,1,2,1,0,0,2
-0.020212766,0.623670213,0.814361702,0.188829787,0.588297872,0.396276596,-1.668439722,1.849290786,0.839539003,0,0,1,1,2,1,0,0,2
-0.870212766,0.323670213,0.214361702,0.588829787,-0.261702128,0.446276596,0.164893618,0.349290786,1.672872343,0,0,1,1,3,1,0,0,2
0.329787234,0.873670213,1.114361702,0.488829787,0.588297872,0.496276596,-0.168439722,0.349290786,-1.660460987,0,0,1,1,2,1,0,0,2
